"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID3""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2020-06-12 01:24:39,2020-06-12 01:36:25,IP Address,84.186.215.187,100,706,True,2020-06-12 01:36:26,R_2TufWOMsnhC4ZGq,,,,,53.109405517578125,8.781402587890625,anonymous,EN,2,1,1,1,1,1,1,,,,,,,18 - 24,Male,Urban area,No
2020-06-12 02:57:34,2020-06-12 02:59:01,IP Address,93.195.8.228,100,86,True,2020-06-12 02:59:02,R_0TcixjzDFNVYy2t,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,5,1,2,1,1,2,,,,,,,18 - 24,Female,Urban area,No
2020-06-14 10:12:02,2020-06-14 10:13:08,IP Address,87.123.203.223,100,65,True,2020-06-14 10:13:08,R_1OQfC0jOFYAMnyH,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,1,2,2,1,2,1,1,,,,,,,18 - 24,Male,Urban area,No
2020-06-15 02:20:21,2020-06-15 02:22:05,IP Address,103.125.234.202,100,104,True,2020-06-15 02:22:05,R_5ax08KhijsV8PgR,,,,,34.6847991943359375,135.514190673828125,anonymous,EN,3,2,4,4,4,4,4,,,,,,,18 - 24,Male,Urban area,No
2020-06-15 02:24:31,2020-06-15 02:25:44,IP Address,103.125.234.198,100,72,True,2020-06-15 02:25:44,R_VLtI9vDygnZiW4N,,,,,34.6847991943359375,135.514190673828125,anonymous,EN,3,3,3,6,5,4,6,,,,,,,18 - 24,Female,Urban area,No
2020-06-15 02:26:20,2020-06-15 02:28:30,IP Address,192.40.57.227,100,129,True,2020-06-15 02:28:30,R_2rqCmDQ1phR4xI5,,,,,52.3759002685546875,4.8975067138671875,anonymous,EN,3,3,3,6,4,3,6,,,,,,,18 - 24,Male,Urban area,No
2020-06-15 02:31:49,2020-06-15 02:32:45,IP Address,185.107.95.231,100,55,True,2020-06-15 02:32:45,R_3oH4mXNqQtlxXkG,,,,,52.0738067626953125,4.322601318359375,anonymous,EN,3,3,3,4,3,3,4,,,,,,,18 - 24,Female,Urban area,No
2020-06-15 02:33:07,2020-06-15 02:33:51,IP Address,46.166.142.214,100,44,True,2020-06-15 02:33:51,R_23aF8whVLPuJzno,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,3,3,3,4,3,2,5,,,,,,,18 - 24,Female,Urban area,No
2020-06-15 02:34:30,2020-06-15 02:35:10,IP Address,45.89.173.198,100,40,True,2020-06-15 02:35:10,R_3MhSk0q8TJ21ARx,,,,,36.1685028076171875,-115.11640167236328125,anonymous,EN,3,2,3,5,3,2,5,,,,,,,18 - 24,Female,Urban area,No
2020-06-15 02:40:35,2020-06-15 02:59:22,IP Address,188.195.158.40,100,1126,True,2020-06-15 02:59:22,R_3q82C45irakJkRo,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,3,1,2,3,1,1,,,,,,,18 - 24,Male,Urban area,No
2020-06-15 03:28:00,2020-06-15 03:29:20,IP Address,95.90.220.233,100,80,True,2020-06-15 03:29:21,R_1K75c4YG4kgNdEl,,,,,49.58880615234375,11.009796142578125,anonymous,EN,2,4,1,1,2,3,1,,,,,,,18 - 24,Female,Rural area,No
2020-06-15 04:48:57,2020-06-15 04:50:33,IP Address,138.246.2.201,100,96,True,2020-06-15 04:50:34,R_2cvDZFvlGIP538H,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,2,1,1,3,2,2,,,,,,,18 - 24,Female,Urban area,Yes
2020-06-15 06:43:46,2020-06-15 06:44:57,IP Address,84.58.209.209,100,70,True,2020-06-15 06:44:57,R_3L20M91zJTVjMWI,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,2,3,1,2,2,1,1,,,,,,,18 - 24,Male,Urban area,No
2020-06-18 00:41:49,2020-06-18 00:42:51,IP Address,195.37.188.146,100,61,True,2020-06-18 00:42:51,R_01hOQVuvbOZKojn,,,,,48.1497039794921875,11.5850067138671875,anonymous,EN,3,1,1,1,1,1,1,,,,,,,18 - 24,Female,Rural area,No
2020-06-19 15:00:47,2020-06-19 15:01:36,IP Address,108.59.0.39,100,49,True,2020-06-19 15:01:36,R_3n7NtrqxwVkAnP5,,,,,39.6685028076171875,-75.704803466796875,anonymous,EN,3,3,3,5,3,3,4,,,,,,,25 - 34,Female,Rural area,No
2020-06-19 15:02:18,2020-06-19 15:03:05,IP Address,84.17.45.159,100,46,True,2020-06-19 15:03:05,R_1GNdWSqKvF1ZOkl,,,,,34.072906494140625,-118.2606048583984375,anonymous,EN,3,3,3,3,5,4,4,,,,,,,25 - 34,Female,Urban area,No
2020-06-19 15:08:04,2020-06-19 15:08:45,IP Address,45.8.223.8,100,41,True,2020-06-19 15:08:47,R_scAJEW1KO3MGHsJ,,,,,34.71490478515625,135.521392822265625,anonymous,EN,3,3,3,5,4,2,6,,,,,,,45 - 54,Female,Urban area,No
2020-06-19 15:10:23,2020-06-19 15:10:54,IP Address,46.166.142.221,100,30,True,2020-06-19 15:10:54,R_XIgoW3SbemeQvHb,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,1,1,1,2,1,1,2,,,,,,,65 +,Female,Urban area,Yes
2020-06-19 15:11:15,2020-06-19 15:11:49,IP Address,109.201.133.24,100,34,True,2020-06-19 15:11:50,R_AL1cH5KCErpOAy5,,,,,52.0074005126953125,5.96539306640625,anonymous,EN,1,1,1,3,1,1,2,,,,,,,65 +,Female,Urban area,Yes
